Snapshot,Size,Count,Average Count
"341, 13056, 272, 48.00"
"342, 38952, 810, 48.09"
"343, 139040, 826, 168.33"
"344, 96184, 2366, 40.65"
"345, 5520, 69, 80.00"
"346, 13056, 272, 48.00"
"347, 38952, 810, 48.09"
"348, 142736, 838, 170.33"
"349, 97784, 2404, 40.68"
"350, 5520, 69, 80.00"
"351, 13056, 272, 48.00"
"352, 38952, 810, 48.09"
"353, 146480, 850, 172.33"
"354, 99104, 2437, 40.67"
"355, 5520, 69, 80.00"
"356, 13056, 272, 48.00"
"357, 38952, 810, 48.09"
"358, 150272, 862, 174.33"
"359, 100816, 2477, 40.70"
"360, 5520, 69, 80.00"
"361, 13056, 272, 48.00"
"362, 38952, 810, 48.09"
"363, 154112, 874, 176.33"
"364, 102192, 2511, 40.70"
"365, 5520, 69, 80.00"
"366, 13056, 272, 48.00"
"367, 38952, 810, 48.09"
"368, 158000, 886, 178.33"
"369, 103904, 2551, 40.73"
"370, 5520, 69, 80.00"
"371, 13056, 272, 48.00"
"372, 38952, 810, 48.09"
"373, 161936, 898, 180.33"
"374, 105616, 2591, 40.76"
"375, 5520, 69, 80.00"
"376, 13056, 272, 48.00"
"377, 38952, 810, 48.09"
"378, 165920, 910, 182.33"
"379, 106936, 2624, 40.75"
"380, 5520, 69, 80.00"
"381, 13056, 272, 48.00"
"382, 38952, 810, 48.09"
"383, 169952, 922, 184.33"
"384, 108536, 2662, 40.77"
"385, 5520, 69, 80.00"
"386, 13056, 272, 48.00"
"387, 38952, 810, 48.09"
"388, 174032, 934, 186.33"
"389, 109912, 2696, 40.77"
"390, 5520, 69, 80.00"
"391, 13056, 272, 48.00"
"392, 38952, 810, 48.09"
"393, 178160, 946, 188.33"
"394, 111344, 2731, 40.77"
"395, 5520, 69, 80.00"
"396, 13056, 272, 48.00"
"397, 38952, 810, 48.09"
"398, 182336, 958, 190.33"
"399, 112720, 2765, 40.77"
"400, 5520, 69, 80.00"
"401, 13056, 272, 48.00"
"402, 38952, 810, 48.09"
"403, 186560, 970, 192.33"
"404, 114040, 2798, 40.76"
"405, 5520, 69, 80.00"
"406, 13056, 272, 48.00"
"407, 38952, 810, 48.09"
"408, 190832, 982, 194.33"
"409, 115640, 2836, 40.78"
"410, 5520, 69, 80.00"
"411, 13056, 272, 48.00"
"412, 38952, 810, 48.09"
"413, 195152, 994, 196.33"
"414, 117128, 2872, 40.78"
"415, 5520, 69, 80.00"
"416, 13056, 272, 48.00"
"417, 38952, 810, 48.09"
"418, 199520, 1006, 198.33"
"419, 118784, 2911, 40.81"
"420, 5520, 69, 80.00"
"421, 13056, 272, 48.00"
"422, 38952, 810, 48.09"
"423, 203936, 1018, 200.33"
"424, 120272, 2947, 40.81"
"425, 5520, 69, 80.00"
"426, 13056, 272, 48.00"
"427, 38952, 810, 48.09"
"428, 208400, 1030, 202.33"
"429, 121760, 2983, 40.82"
"430, 5520, 69, 80.00"
"431, 13056, 272, 48.00"
"432, 38952, 810, 48.09"
"433, 212912, 1042, 204.33"
"434, 123360, 3021, 40.83"
"435, 5520, 69, 80.00"
"436, 13056, 272, 48.00"
"437, 38952, 810, 48.09"
"438, 217472, 1054, 206.33"
"439, 124792, 3056, 40.84"
"440, 5520, 69, 80.00"
"441, 13056, 272, 48.00"
"442, 38952, 810, 48.09"
"443, 222080, 1066, 208.33"
"444, 126336, 3093, 40.85"
"445, 5520, 69, 80.00"
"446, 13056, 272, 48.00"
"447, 226736, 1078, 210.33"
"448, 38952, 810, 48.09"
"449, 127656, 3126, 40.84"
"450, 5520, 69, 80.00"
"451, 13056, 272, 48.00"
"452, 231440, 1090, 212.33"
"453, 38952, 810, 48.09"
"454, 129256, 3164, 40.85"
"455, 5520, 69, 80.00"
"456, 13056, 272, 48.00"
"457, 236192, 1102, 214.33"
"458, 38952, 810, 48.09"
"459, 130688, 3199, 40.85"
"460, 5520, 69, 80.00"
"461, 13056, 272, 48.00"
"462, 240992, 1114, 216.33"
"463, 38952, 810, 48.09"
"464, 132064, 3233, 40.85"
"465, 5520, 69, 80.00"
"466, 13056, 272, 48.00"
"467, 245840, 1126, 218.33"
"468, 39008, 811, 48.10"
"469, 133608, 3270, 40.86"
"470, 5520, 69, 80.00"
"471, 13056, 272, 48.00"
"472, 250736, 1138, 220.33"
"473, 39008, 811, 48.10"
"474, 135040, 3305, 40.86"
"475, 5520, 69, 80.00"
"476, 255680, 1150, 222.33"
"477, 13056, 272, 48.00"
"478, 38952, 810, 48.09"
"479, 136584, 3342, 40.87"
"480, 5520, 69, 80.00"
"481, 260672, 1162, 224.33"
"482, 13056, 272, 48.00"
"483, 38952, 810, 48.09"
"484, 138072, 3378, 40.87"
"485, 5520, 69, 80.00"
"486, 265712, 1174, 226.33"
"487, 13056, 272, 48.00"
